Stock Code,Warehouse,CREATEDATE,BATCH,Qty
8515220204                         ,62,9/6/2026,199900014850,70
8515220204                         ,62,9/6/2026,199900014851,70
8515220204                         ,62,9/6/2026,199900014854,70
8515220204                         ,62,9/6/2026,199900014846,70
8515220204                         ,62,9/6/2026,199900014847,70
8515220204                         ,62,9/6/2026,199900014857,70
8515220204                         ,62,9/6/2026,199900014856,70
8517110004                         ,01,21/4/2026,199900012225,34
8517110004                         ,01,5/2/2026,199900007969,80
8517110004                         ,01,22/4/2026,199900012418,36
8517110004                         ,01,5/2/2026,199900007895,80
8517110004                         ,01,5/2/2026,199900007968,80
8517110004                         ,01,5/2/2026,199900007971,80
8517110004                         ,01,5/2/2026,199900007970,80
8517110004                         ,01,7/5/2026,199900012837,10
8517110004                         ,50,16/5/2026,199900013259,7
8517110004                         ,98,22/12/2025,199900004461,25
8517120004                         ,01,5/2/2026,199900007937,80
8517120004                         ,01,5/2/2026,199900007936,80
8517120004                         ,01,5/2/2026,199900007938,80
8517120004                         ,01,5/2/2026,199900007975,80
8517120004                         ,01,5/2/2026,199900007935,80
8517120004                         ,01,21/4/2026,199900012226,80
8517120004                         ,50,16/5/2026,199900013260,80
8517120004                         ,98,5/2/2026,199900007972,80
8517120004                         ,98,5/2/2026,199900007939,80
8517120004                         ,98,21/4/2026,199900012288,80
8517120004                         ,98,21/4/2026,199900012280,44
8517120004                         ,98,5/2/2026,199900007974,80
8517120004                         ,98,22/12/2025,199900004462,55
8517120004                         ,98,22/4/2026,199900012419,58
8517120004                         ,98,5/2/2026,199900007973,80
8518110104                         ,01,7/4/2026,199900011314,55
8518110104                         ,01,7/4/2026,199900011313,55
8518110104                         ,01,21/5/2026,199900013668,10
8518110104                         ,01,7/4/2026,199900011315,55
8518110104                         ,60,21/5/2026,199900013671,55
8518110104                         ,60,21/5/2026,199900013673,55
8518110104                         ,60,12/5/2026,199900013005,55
8518110104                         ,60,21/5/2026,199900013670,55
8518110104                         ,60,21/5/2026,199900013674,55
8518110104                         ,60,21/5/2026,199900013669,55
8518110104                         ,60,21/5/2026,199900013672,55
8518110104                         ,60,12/5/2026,199900013007,45
8518110104                         ,60,12/5/2026,199900013006,55
8518110104                         ,62,2/6/2026,199900014471,55
8518120104                         ,01,7/4/2026,199900011316,55
8518120104                         ,01,21/5/2026,199900013677,10
8518120104                         ,01,7/4/2026,199900011317,55
8518120104                         ,01,7/4/2026,199900011318,55
8518120104                         ,60,12/5/2026,199900012996,55
8518120104                         ,60,21/5/2026,199900013678,55
8518120104                         ,60,21/5/2026,199900013679,55
8518120104                         ,60,21/5/2026,199900013681,55
8518120104                         ,60,21/5/2026,199900013685,55
8518120104                         ,60,12/5/2026,199900012997,55
8518120104                         ,60,21/5/2026,199900013684,55
8518120104                         ,60,21/5/2026,199900013680,55
8518120104                         ,60,12/5/2026,199900012998,45
8518120104                         ,62,2/6/2026,199900014470,55
8518310204                         ,50,11/5/2026,199900012977,55
8518320204                         ,50,11/5/2026,199900012978,36
8530210104                         ,98,15/1/2026,199900006085,1
8530220104                         ,98,15/1/2026,199900006086,2
8533320004                         ,50,16/5/2026,199900013242,19
8533320004                         ,50,3/6/2026,199900014510,20
8563310004                         ,01,8/2/2026,199900008402,7
8563310004                         ,60,30/5/2026,199900014339,52
8563310004                         ,60,30/5/2026,199900014340,52
8563310004                         ,60,29/5/2026,199900014297,52
8563310004                         ,60,11/5/2026,199900012988,45
8563310004                         ,60,30/5/2026,199900014338,52
8563310004                         ,60,29/5/2026,199900014295,52
8563310004                         ,60,1/6/2026,199900014423,52
8563310004                         ,62,3/6/2026,199900014481,52
8563310004                         ,62,3/6/2026,199900014489,52
8563310004                         ,62,11/6/2026,199900014538,52
8563310004                         ,62,3/6/2026,199900014483,52
8563310004                         ,62,3/6/2026,199900014487,52
8563310004                         ,62,11/6/2026,199900014541,52
8563310004                         ,62,3/6/2026,199900014490,52
8563310004                         ,62,3/6/2026,199900014497,52
8563310004                         ,62,3/6/2026,199900014478,52
8563310004                         ,62,3/6/2026,199900014491,52
8563310004                         ,62,3/6/2026,199900014486,52
8563310004                         ,62,3/6/2026,199900014488,52
